会社名,本社所在地（都道府県）,主要サービス概要,公式サイト,SES提供確認メモ
株式会社アウトソーシングテクノロジー,東京都,"エンジニア派遣・受託開発、ITインフラやシステム開発のSES支援",https://www.ostechnology.co.jp/,公式サイトでエンジニア派遣と常駐型開発(SES)を提供と明記
AKKODiSコンサルティング株式会社,東京都,"エンジニアの常駐型技術支援、ITコンサルティング、受託開発",https://www.akkodis.co.jp/,サービス紹介に技術者派遣・常駐型のエンジニアリングソリューションと記載
パーソルクロステクノロジー株式会社,東京都,"IT/機電エンジニア派遣、受託開発、SES",https://persol-xtech.co.jp/,サイトにITソリューションとしてシステムエンジニア派遣を案内
株式会社テクノプロ（テクノプロ・IT社）,東京都,"システム開発支援、インフラ構築支援、ITエンジニア派遣",https://www.technopro.com/it/,公式サイトでIT系SES・常駐支援サービスを展開と表記
株式会社メイテック,東京都,"製造業・IT領域のエンジニア派遣、常駐開発",https://www.meitec.co.jp/,サービス内容に顧客先常駐でのエンジニアリングサービスを提供と記述
株式会社フォーラムエンジニアリング,東京都,"製造業向けエンジニア派遣、常駐技術支援",https://www.forumeng.co.jp/,公式サイトで顧客常駐型の技術サービス(SES)を案内
株式会社ビーネックステクノロジーズ,東京都,"IT・機電エンジニア派遣、開発支援",https://www.benext.co.jp/,サイトで常駐型のエンジニア派遣/SESサービスを掲載
株式会社リクルートR&Dスタッフィング,東京都,"研究開発・IT領域のエンジニア派遣",https://www.recruit-rds.co.jp/,事業紹介に客先常駐でのエンジニア派遣(SES)を明記
株式会社ジェイテック,東京都,"ソフトウェア・インフラ分野のSES支援、受託開発",https://www.j-tec.co.jp/,公式サイトでSES(システムエンジニアリングサービス)を主要事業として紹介
株式会社エスユーエス,京都府,"AI/IoTを含むITエンジニア派遣、受託開発",https://www.sus-g.co.jp/,事業内容にIT領域のSES・技術者派遣サービスを掲載
